No.,プレフィックス,項目名,必須項目,最小回数,最大数,項目名（英語）,説明,形式,記入例,名称・形式等の参考元
1,pd,ID群,,0,1,identificationGroup,機械的に採番された土地を一意に識別するID。土地単位に付番する,pd:ID情報型,"{""ID"": ""1-2-3"", ""ID種別"": ""地番""}",schema.org
2,pd,用途,必,1,n,usage,土地の主要な用途,pd:コード情報型,"{""種別"": ""土地コード"",""種別関連情報"": ""201""}",IMI
3,pd,名称,,0,1,name,土地の名称,文字列,きおい緑地,IMI
4,pd,名称（カナ）,,0,1,nameKana,土地のカナ表記,文字列,キオイリョクチ,IMI
5,pd,名称（英字）,,0,1,nameEn,土地の英語名またはローマ字表記,文字列,Kioi Green Space,IMI
6,pd,通称,,0,1,alternateName,土地に通称がある場合に記入,文字列,きおい広場,schema.org
7,pd,説明,,0,1,description,土地情報として公開可能な詳細情報,文字列,きおい団体が保全・管理を推進,schema.org
8,pd,土地住所,必,1,1,landAddress,住所情報（住所型）,pd:住所,住所型のデータモデルを格納,
9,pd,敷地面積,,1,1,siteArea,土地の敷地面積(m2)U,半角数字,10000,IMI
10,pd,ポリゴン,,0,1,polygon,土地の形状を表す情報,URI,http://www.city.ooo.lg.jp/image/file0101.jpg,
11,pd,備考,,0,1,remarks,土地の備考,文字列,広域避難場所に指定,
12,pd,連絡先情報,,0,1,contactPointInformation,連絡先の情報（連絡先型）,pd:連絡先,連絡先型のデータモデルを格納,schema.org
